,bike_price,km_driven,make_year,bike_name,bike_model,bike_address,state
0,"₹ 45,000","34,361 km",2019.0,Bajaj,Pulsar,"Alapati Doctor Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
1,"₹ 2,00,000","9,000 km",2019.0,KTM,390 Duke ABS,"MVP Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
2,"₹ 1,35,000","17,000 km",2019.0,KTM,Others,"NAD, Visakhapatnam, Andhra Pradesh",AndhraPradesh
3,"₹ 1,10,000","28,000 km",1992.0,Royal Enfield,Bullet,"Vajiapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
4,"₹ 50,000","51,400 km",2015.0,Bajaj,Avenger,"Dasanna Pet, Vizianagaram, Andhra Pradesh",AndhraPradesh
5,"₹ 50,000","35,000 km",2012.0,Yamaha,FZ,"Naidupet, Guntur, Andhra Pradesh",AndhraPradesh
6,"₹ 85,000","25,000 km",2020.0,Honda,Others,"Gollapalem, Phirangipuram, Andhra Pradesh",AndhraPradesh
7,"₹ 55,000","390,690 km",2018.0,Bajaj,CT 100,"Ambedkar Nagar, Adoni, Andhra Pradesh",AndhraPradesh
8,"₹ 55,000","45,000 km",2017.0,Yamaha,FZ,"Harnathapuram, Nellore, Andhra Pradesh",AndhraPradesh
9,"₹ 1,26,000","27,000 km",2013.0,Royal Enfield,Bullet,"Kolavennu, Vijayawada, Andhra Pradesh",AndhraPradesh
10,"₹ 3,00,000","3,458 km",2020.0,Royal Enfield,Continental GT,"Kothagudem, Gundugolanu, Andhra Pradesh",AndhraPradesh
11,"₹ 1,10,000","7,000 km",2021.0,Bajaj,Pulsar,"Gurrampalem, Chodavaram, Andhra Pradesh",AndhraPradesh
12,"₹ 85,000","18,888 km",2019.0,Bajaj,Pulsar,"Bhavanipuram, Vijayawada, Andhra Pradesh",AndhraPradesh
13,"₹ 72,000","9,500 km",2020.0,Hero,Passion,"Ponnapuram, Nandyal, Andhra Pradesh",AndhraPradesh
14,"₹ 1,60,000","10,357 km",2021.0,Yamaha,Others,"Santha, Gajapathinagaram, Andhra Pradesh",AndhraPradesh
15,"₹ 70,000","47,000 km",2019.0,Honda,Others,"Suryaraopeta, Kakinada, Andhra Pradesh",AndhraPradesh
16,"₹ 1,10,000","7,000 km",2021.0,Bajaj,Pulsar,"Venkayyagaripeta, Chodavaram, Andhra Pradesh",AndhraPradesh
17,"₹ 80,000","23,000 km",2020.0,Bajaj,Pulsar,"Shree Kalavalli, Gooty, Andhra Pradesh",AndhraPradesh
18,"₹ 1,65,000","18,500 km",2019.0,Royal Enfield,Classic,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
19,"₹ 1,65,000","6,400 km",2021.0,KTM,RC,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
20,"₹ 14,50,000","6,000 km",2020.0,Other Brands,Others,"Vidya Nagar, Guntur, Andhra Pradesh",AndhraPradesh
21,"₹ 76,000","13,000 km",2017.0,Hero,Glamour,"Timmarajupuram, Tanuku, Andhra Pradesh",AndhraPradesh
22,"₹ 1,01,000","17,000 km",2020.0,Yamaha,FZS,"Vempadu, Bhimavaram, Andhra Pradesh",AndhraPradesh
23,"₹ 70,000","29,000 km",2016.0,Royal Enfield,Classic,"Ajit Singh Nagar, Vijayawada, Andhra Pradesh",AndhraPradesh
24,"₹ 27,000","20,000 km",2011.0,Honda,CB,"Ramnagar, Dharmavaram, Andhra Pradesh",AndhraPradesh
25,"₹ 35,000","70,000 km",2018.0,Bajaj,Platina,"B V Reddy Colony, Chittoor, Andhra Pradesh",AndhraPradesh
26,"₹ 40,000","350,004 km",2016.0,Yamaha,Saluto,"Kallubhavi Village, Adoni, Andhra Pradesh",AndhraPradesh
27,"₹ 32,000","28,000 km",2017.0,TVS,Others,"A Camp, Kurnool, Andhra Pradesh",AndhraPradesh
28,"₹ 89,000","19,800 km",2017.0,Honda,CB,"Shivajyoti Nagar, Tirupati, Andhra Pradesh",AndhraPradesh
29,"₹ 25,000","15,000 km",2013.0,Bajaj,CT 100,"Thimmapuram, Edlapadu, Andhra Pradesh",AndhraPradesh
30,"₹ 46,000","35,000 km",2013.0,Honda,CB,"Sankarapuram, Kadapa, Andhra Pradesh",AndhraPradesh
31,"₹ 50,000","15,000 km",2018.0,Bajaj,Pulsar,"Ahmed Nagar, Pedana, Andhra Pradesh",AndhraPradesh
32,"₹ 72,000","11,500 km",2016.0,Other Brands,Others,"Sri Ram Nagar, Srikakulam, Andhra Pradesh",AndhraPradesh
33,"₹ 90,000","16,000 km",2020.0,Yamaha,Others,"Kambadur, Punganur, Andhra Pradesh",AndhraPradesh
34,"₹ 38,000","38,000 km",2015.0,Honda,CB,"Ajit Sing Nagar, Vijayawada, Andhra Pradesh",AndhraPradesh
35,"₹ 29,500","71,000 km",2010.0,Suzuki,GS,"Chinnuru, Dharmavaram, Andhra Pradesh",AndhraPradesh
36,"₹ 1,50,000","16,000 km",2018.0,Royal Enfield,Bullet,"Narsipatnam, Narsipatnam, Andhra Pradesh",AndhraPradesh
37,"₹ 10,00,000","3,100 km",2018.0,Other Brands,Others,"Subhash Nagar, Visakhapatnam, Andhra Pradesh",AndhraPradesh
38,"₹ 1,30,000","25,000 km",2016.0,KTM,390 Duke ABS,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
39,"₹ 44,000","63,000 km",2014.0,Bajaj,Pulsar,"Mogalikuduru, Thatipaka, Andhra Pradesh",AndhraPradesh
40,"₹ 80,000","31,635 km",2015.0,Royal Enfield,Thunderbird,"Tadepalle, Vijayawada, Andhra Pradesh",AndhraPradesh
41,"₹ 1,00,500","11,500 km",2020.0,Yamaha,FZS,"Kothapeta, Rayachoti, Andhra Pradesh",AndhraPradesh
42,"₹ 1,90,000","5,000 km",2021.0,Royal Enfield,Classic,"Padlamuru, Peddapuram, Andhra Pradesh",AndhraPradesh
43,"₹ 22,000","50,000 km",2012.0,Hero Honda,CBZ,"Pedana, Andhra Pradesh, India",AndhraPradesh
44,"₹ 1,13,000","15,000 km",2020.0,Bajaj,Pulsar,"Vasavi Nagar, Mydukur, Andhra Pradesh",AndhraPradesh
45,"₹ 65,000","50,000 km",2015.0,Yamaha,Others,"Sarvakatta, Proddatur, Andhra Pradesh",AndhraPradesh
46,"₹ 19,500","50,000 km",2010.0,Hero,Splendor,"Gunthapalle, Badvel, Andhra Pradesh",AndhraPradesh
47,"₹ 1,70,000","45,000 km",2009.0,Royal Enfield,Others,"Kovvada, Bhimavaram, Andhra Pradesh",AndhraPradesh
48,"₹ 69,999","5,500 km",2020.0,Bajaj,Others,"B Tandrapadu, Kurnool, Andhra Pradesh",AndhraPradesh
49,"₹ 82,500","27,300 km",2018.0,Bajaj,Pulsar,"Pendurthi, Visakhapatnam, Andhra Pradesh",AndhraPradesh
50,"₹ 70,000","20,000 km",2019.0,Bajaj,Pulsar,"Sarada Colony, Guntur, Andhra Pradesh",AndhraPradesh
51,"₹ 60,000","54,000 km",2016.0,Other Brands,Others,"Rayalam, Bhimavaram, Andhra Pradesh",AndhraPradesh
52,"₹ 1,10,000","10,000 km",1985.0,Other Brands,Others,"Sultanabad, Tenali, Andhra Pradesh",AndhraPradesh
53,"₹ 28,000","14,000 km",2012.0,Bajaj,Pulsar,"NS Peta, Punganur, Andhra Pradesh",AndhraPradesh
54,"₹ 1,90,000","1,500 km",2021.0,Suzuki,Gixxer,"Iskon City, Nellore, Andhra Pradesh",AndhraPradesh
55,"₹ 82,000","44,500 km",2018.0,Bajaj,Pulsar,"Wahapet, Nellore, Andhra Pradesh",AndhraPradesh
56,"₹ 30,000","30,000 km",2011.0,TVS,Apache RTR,"Apiic Colony, Kakinada, Andhra Pradesh",AndhraPradesh
57,"₹ 80,000","9,500 km",2019.0,Bajaj,Pulsar,"Devi Nagar, Vijayawada, Andhra Pradesh",AndhraPradesh
58,"₹ 85,000","13,000 km",2019.0,Honda,CB,"Prashanti Nagar, Giddaluru, Andhra Pradesh",AndhraPradesh
59,"₹ 75,000","25,000 km",2019.0,Hero,Glamour,"Kummari Colony, Chilakalurupet, Andhra Pradesh",AndhraPradesh
60,"₹ 70,000","29,000 km",2012.0,Royal Enfield,Bullet,"Endada, Visakhapatnam, Andhra Pradesh",AndhraPradesh
61,"₹ 68,000","35,000 km",2018.0,TVS,Apache RTR,"Pippara, Andhra Pradesh, India",AndhraPradesh
62,"₹ 85,000","45,086 km",1998.0,Yamaha,Others,"K M Agraharam, Amalapuram, Andhra Pradesh",AndhraPradesh
63,"₹ 26,000","65,000 km",2009.0,Hero Honda,Passion,"Amalapuram R, Amalapuram, Andhra Pradesh",AndhraPradesh
64,"₹ 1,75,000","22,000 km",2018.0,KTM,RC,"Rangaraju Peta, Koikuntla, Andhra Pradesh",AndhraPradesh
65,"₹ 70,000","25,000 km",2019.0,Other Brands,Others,"Kakani Nagar, Visakhapatnam, Andhra Pradesh",AndhraPradesh
66,"₹ 30,000","30,000 km",2010.0,Bajaj,Platina,"Woodpete, Anakapalle, Andhra Pradesh",AndhraPradesh
67,"₹ 37,000","91,000 km",2014.0,Hero,Glamour,"Bank Colony, Kankipadu, Andhra Pradesh",AndhraPradesh
68,"₹ 2,10,000","19,000 km",2019.0,Royal Enfield,Continental GT,"Andhrakesari Nagar, Proddatur, Andhra Pradesh",AndhraPradesh
69,"₹ 80,000","60,000 km",2015.0,Yamaha,YZF R,"Netaji Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
70,"₹ 1,20,000","30,000 km",2019.0,KTM,Others,"Nehru Nagar, Tirupati, Andhra Pradesh",AndhraPradesh
71,"₹ 1,20,000","28,000 km",2019.0,KTM,Others,"Gollapudi, Vijayawada, Andhra Pradesh",AndhraPradesh
72,"₹ 54,000","17,300 km",2016.0,Bajaj,Others,"Canara Bank Colony, Vijayawada, Andhra Pradesh",AndhraPradesh
73,"₹ 2,90,000","2,000 km",1965.0,Royal Enfield,Continental GT,"East Godavari district, Andhra Pradesh, India",AndhraPradesh
74,"₹ 1,38,000","31,000 km",2016.0,Royal Enfield,Classic,"RRV Puram, Visakhapatnam, Andhra Pradesh",AndhraPradesh
75,"₹ 14,500","87,606 km",2012.0,Bajaj,Pulsar,"Yerupalle, Ramachandrapuram, Andhra Pradesh",AndhraPradesh
76,"₹ 25,000","36,000 km",2009.0,Hero Honda,Splendor,"Madhava Dhara, Visakhapatnam, Andhra Pradesh",AndhraPradesh
77,"₹ 35,000","35,000 km",2017.0,Suzuki,Gixxer,"Cahneergubad, Gudivada, Andhra Pradesh",AndhraPradesh
78,"₹ 14,000","10,000 km",2011.0,Bajaj,Pulsar,"BHANUGUDI, Kakinada, Andhra Pradesh",AndhraPradesh
79,"₹ 1,36,000","22,000 km",2016.0,Royal Enfield,Classic,"Governorpeta, Vijayawada, Andhra Pradesh",AndhraPradesh
80,"₹ 2,30,000","5,000 km",2021.0,Royal Enfield,Classic,"Teluguganga Colony, Nellore, Andhra Pradesh",AndhraPradesh
81,"₹ 35,000","96,550 km",2009.0,Honda,CBF Stunner,"Jagadamba Junction, Visakhapatnam, Andhra Pradesh",AndhraPradesh
82,"₹ 1,15,000","34,500 km",2014.0,Royal Enfield,Classic,"Pedda, Rushikonda APIIC, Andhra Pradesh",AndhraPradesh
83,"₹ 33,000",65 km,2015.0,Bajaj,Discover,"Old Guntur, Guntur, Andhra Pradesh",AndhraPradesh
84,"₹ 25,000","33,012 km",2012.0,Yamaha,FZ,"Boddavalasa, Narasannapeta, Andhra Pradesh",AndhraPradesh
85,"₹ 28,000","45,000 km",2010.0,Hero Honda,Splendor,"Power Pet, Eluru, Andhra Pradesh",AndhraPradesh
86,"₹ 19,000","50,000 km",2007.0,Honda,CB,"Balagi Colony, Tirupati, Andhra Pradesh",AndhraPradesh
87,"₹ 42,000","40,000 km",2014.0,Hero,Glamour,"Akkayyapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
88,"₹ 1,00,000","22,000 km",2018.0,Bajaj,Pulsar,"Kapparada, Visakhapatnam, Andhra Pradesh",AndhraPradesh
89,"₹ 52,000","8,000 km",2017.0,Hero,Passion,"Guddeti Property, Proddatur, Andhra Pradesh",AndhraPradesh
90,"₹ 1,50,000","14,000 km",1989.0,Royal Enfield,Bullet,"Sri Hari Nagar, Nellore, Andhra Pradesh",AndhraPradesh
91,"₹ 1,25,000","21,000 km",2019.0,KTM,Duke 200,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
92,"₹ 65,000",500 km,1996.0,Yamaha,Others,"Bhaskar Enclave, Tenali, Andhra Pradesh",AndhraPradesh
93,"₹ 47,000","25,220 km",2017.0,Honda,Others,"NAD, Visakhapatnam, Andhra Pradesh",AndhraPradesh
94,"₹ 1,95,000","2,400 km",2020.0,Royal Enfield,Classic,"Pendurthi, Visakhapatnam, Andhra Pradesh",AndhraPradesh
95,"₹ 78,000","10,000 km",2021.0,Hero,Passion,"Ferrer Nagar, Anantapur, Andhra Pradesh",AndhraPradesh
96,"₹ 2,00,000","9,000 km",2020.0,Other Brands,Others,"Chegalrao Peta, Visakhapatnam, Andhra Pradesh",AndhraPradesh
97,"₹ 1,50,000","24,000 km",2020.0,Yamaha,Others,"K M Agraharam, Amalapuram, Andhra Pradesh",AndhraPradesh
98,"₹ 75,000","10,000 km",2021.0,Hero,Glamour,"Mogal Raj Puram, Vijayawada, Andhra Pradesh",AndhraPradesh
99,"₹ 32,000","29,500 km",2016.0,Bajaj,Others,"Simhadripuram, Visakhapatnam, Andhra Pradesh",AndhraPradesh
100,"₹ 1,65,000","21,000 km",2020.0,KTM,RC,"Old Guntur, Guntur, Andhra Pradesh",AndhraPradesh
101,"₹ 40,000","9,000 km",2018.0,KTM,Duke 200,"Danavai Peta, Rajahmundry, Andhra Pradesh",AndhraPradesh
102,"₹ 13,000","197,763 km",2007.0,Bajaj,Platina,"Chinnakurbalapalle Rural, Kuppam, Andhra Pradesh",AndhraPradesh
103,"₹ 52,000","32,000 km",2019.0,Hero,Others,"Surya Nagar, Anantapur, Andhra Pradesh",AndhraPradesh
104,"₹ 29,500","55,000 km",2012.0,Bajaj,Pulsar,"Police Quarters, Machilipatnam, Andhra Pradesh",AndhraPradesh
105,"₹ 24,500",0 km,2010.0,TVS,Star City Plus,"Power Pet, Eluru, Andhra Pradesh",AndhraPradesh
106,"₹ 43,000","25,000 km",2019.0,TVS,Others,"Ambedkar Nagar, Adoni, Andhra Pradesh",AndhraPradesh
107,"₹ 70,000","20,000 km",2017.0,Yamaha,Others,"Holmes Pet, Proddatur, Andhra Pradesh",AndhraPradesh
108,"₹ 2,20,000","4,115 km",2020.0,KTM,Others,"PC Colony, Nellore, Andhra Pradesh",AndhraPradesh
109,"₹ 1,65,000","3,800 km",2021.0,Bajaj,Others,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
110,"₹ 3,75,000","14,500 km",2015.0,Other Brands,Others,"Maddilapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
111,"₹ 50,000","2,500 km",2020.0,TVS,Others,"Banaganapalle, Andhra Pradesh, India",AndhraPradesh
112,"₹ 13,000","40,000 km",2009.0,Hero Honda,CBZ,"Bhagya Nagar Colony, Kadapa, Andhra Pradesh",AndhraPradesh
113,"₹ 60,000","30,000 km",2015.0,Honda,CB,"Mogalikuduru, Thatipaka, Andhra Pradesh",AndhraPradesh
114,"₹ 22,000","50,000 km",2003.0,Hero,Splendor,"Akkayyapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
115,"₹ 1,75,000","6,000 km",2020.0,KTM,Duke 200,"Railway New Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
116,"₹ 60,000","50,000 km",2014.0,Suzuki,Gixxer,"Gandhi Nagar 1, Narasapur, Andhra Pradesh",AndhraPradesh
117,"₹ 95,000","50,000 km",2013.0,KTM,390 Duke ABS,"WS Colony, Kurnool, Andhra Pradesh",AndhraPradesh
118,"₹ 33,000","40,000 km",2013.0,Bajaj,Pulsar,"Santhi Nagar, Eluru, Andhra Pradesh",AndhraPradesh
119,"₹ 1,60,000","17,000 km",2018.0,Royal Enfield,Classic,"Rajendra Nager, Gudivada, Andhra Pradesh",AndhraPradesh
120,"₹ 23,000","40,000 km",2012.0,Bajaj,Discover,"Akkayyapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
121,"₹ 60,000","19,000 km",2021.0,Bajaj,Platina,"Incometax Colony Kakinada, Kakinada, Andhra Pradesh",AndhraPradesh
122,"₹ 24,000","40,000 km",2010.0,Hero Honda,Passion,"Police Quarters, Machilipatnam, Andhra Pradesh",AndhraPradesh
123,"₹ 75,000","22,600 km",2016.0,Yamaha,FZS,"Vivekanandha Colony, Chittoor, Andhra Pradesh",AndhraPradesh
124,"₹ 45,000","38,000 km",2017.0,Bajaj,Platina,"Kodumur, Andhra Pradesh, India",AndhraPradesh
125,"₹ 42,000","36,500 km",2015.0,Hero Honda,Passion,"Suryaraopeta, Kakinada, Andhra Pradesh",AndhraPradesh
126,"₹ 45,999","11,000 km",2019.0,Bajaj,Pulsar,"Krishna Nagar, Vijayawada, Andhra Pradesh",AndhraPradesh
127,"₹ 1,45,000","30,000 km",2018.0,KTM,Duke 200,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
128,"₹ 1,75,000","13,500 km",2020.0,Royal Enfield,Classic,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
129,"₹ 1,35,000",50 km,2022.0,Bajaj,Pulsar,"Chintamaneni Estate, Sanivarapupeta, Andhra Pradesh",AndhraPradesh
130,"₹ 20,000","50,000 km",2009.0,Bajaj,Pulsar,"Chebrolu, Kaikaram, Andhra Pradesh",AndhraPradesh
131,,,,,,,AndhraPradesh
132,"₹ 49,999","25,000 km",1997.0,Yamaha,Others,"Mogalikuduru, Thatipaka, Andhra Pradesh",AndhraPradesh
133,"₹ 43,000","55,000 km",2014.0,TVS,Apache RTR,"Shiv Ram Nagar, Dharmavaram, Andhra Pradesh",AndhraPradesh
134,"₹ 1,30,000","9,670 km",2021.0,Bajaj,Pulsar,"Aguruvidi, Bobbili, Andhra Pradesh",AndhraPradesh
135,"₹ 15,000","65,000 km",2011.0,TVS,Apache RTR,"Krishna Nagar, Guntur, Andhra Pradesh",AndhraPradesh
136,"₹ 21,000","67,000 km",2009.0,Bajaj,Pulsar,"Karri Satyavathi Nagar, Tadepalligudem, Andhra Pradesh",AndhraPradesh
137,"₹ 75,000","684,778 km",2017.0,Yamaha,Others,"NCC Colony, Nellore, Andhra Pradesh",AndhraPradesh
138,"₹ 36,000","32,000 km",2016.0,Bajaj,Others,"Gandhi Bazar, Anantapur, Andhra Pradesh",AndhraPradesh
139,"₹ 42,000","85,000 km",2014.0,Bajaj,Pulsar,"Simhagiri Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
140,"₹ 18,000","28,000 km",2012.0,TVS,Heavy Duty Super XL,"Lemalle, Guntur, Andhra Pradesh",AndhraPradesh
141,"₹ 58,000","43,000 km",2018.0,Hero,Splendor,"TSN Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
142,"₹ 1,15,000","33,600 km",2014.0,Royal Enfield,Bullet,"Benzco, Vijayawada, Andhra Pradesh",AndhraPradesh
143,"₹ 25,000","35,000 km",2009.0,Honda,Others,"Chowtapalli, Proddatur, Andhra Pradesh",AndhraPradesh
144,"₹ 1,75,000","1,400 km",2021.0,Suzuki,Gixxer,"Kailasagiri, Visakhapatnam, Andhra Pradesh",AndhraPradesh
145,"₹ 41,000","12,800 km",2019.0,Bajaj,Pulsar,"Royal Colony, Srikakulam, Andhra Pradesh",AndhraPradesh
146,"₹ 1,55,000","14,000 km",2020.0,Other Brands,Others,"Ashok Nagar, Tirupati, Andhra Pradesh",AndhraPradesh
147,"₹ 75,000","40,000 km",2016.0,Hero Honda,Others,"Pata Harijana Peta Circle, Anaparthy, Andhra Pradesh",AndhraPradesh
148,"₹ 80,000","11,023 km",1999.0,Yamaha,Others,"Patha Peta, Dhone, Andhra Pradesh",AndhraPradesh
149,"₹ 45,000","42,000 km",2014.0,Hero,Passion,"Laxmi Nagar, Palacole, Andhra Pradesh",AndhraPradesh
150,"₹ 25,000","32,000 km",2010.0,Bajaj,Pulsar,"Shri Krishna Nagar, Tirupati, Andhra Pradesh",AndhraPradesh
151,"₹ 1,30,000","17,000 km",2016.0,KTM,Duke 200,"Lanchila Revu, Bhimavaram, Andhra Pradesh",AndhraPradesh
152,"₹ 80,000","41,000 km",2016.0,Yamaha,Others,"Rajanagaram, Rajahmundry, Andhra Pradesh",AndhraPradesh
153,"₹ 8,000","5,000 km",2014.0,TVS,Heavy Duty Super XL,"Nandalur, Nagireddipalle, Andhra Pradesh",AndhraPradesh
154,"₹ 60,000","100,000 km",2017.0,Suzuki,Others,"Akula Veedhi, Kadapa, Andhra Pradesh",AndhraPradesh
155,"₹ 2,40,000","2,000 km",2021.0,Other Brands,Others,"Dondaparti, Visakhapatnam, Andhra Pradesh",AndhraPradesh
156,"₹ 13,000","65,000 km",2010.0,TVS,Star Sport,"Venkatapuram, Eluru, Andhra Pradesh",AndhraPradesh
157,"₹ 45,000","50,000 km",2012.0,Bajaj,Avenger,"Milatary Colony, Piduguralla, Andhra Pradesh",AndhraPradesh
158,"₹ 85,000","10,700 km",2019.0,Other Brands,Others,"Venkata Reddy Nagar, Nellore, Andhra Pradesh",AndhraPradesh
159,"₹ 45,000","75,000 km",2016.0,Hero Honda,Passion,"Siri Puram, Visakhapatnam, Andhra Pradesh",AndhraPradesh
160,"₹ 58,000","20,000 km",2018.0,Honda,Others,"Rdsnakishna, Macherla, Andhra Pradesh",AndhraPradesh
161,"₹ 85,000","39,000 km",2018.0,Yamaha,FZS,"BHANUGUDI, Kakinada, Andhra Pradesh",AndhraPradesh
162,"₹ 35,000","50,000 km",2010.0,Yamaha,SZ,"Kotta Peta, Bandarulanka, Andhra Pradesh",AndhraPradesh
163,"₹ 1,75,000","17,000 km",2018.0,KTM,RC,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
164,"₹ 1,00,000",100 km,2021.0,Royal Enfield,Bullet,"MVP Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
165,"₹ 45,000","33,000 km",2017.0,Honda,Others,"Ravindra Nagar, Nellore, Andhra Pradesh",AndhraPradesh
166,"₹ 46,000","47,000 km",2012.0,Hero,Karizma,"Kotta Peta, Bandarulanka, Andhra Pradesh",AndhraPradesh
167,"₹ 1,30,000","7,000 km",1984.0,Royal Enfield,Bullet,"Jagadamba Junction, Visakhapatnam, Andhra Pradesh",AndhraPradesh
168,"₹ 30,000",0 km,2014.0,Bajaj,Pulsar,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
169,"₹ 49,000","60,000 km",2012.0,Bajaj,Pulsar,"Arundelpeta, Guntur, Andhra Pradesh",AndhraPradesh
170,"₹ 1,20,000","16,850 km",2020.0,Bajaj,Pulsar,"S N Colony, Rayachoti, Andhra Pradesh",AndhraPradesh
171,,,,,,,AndhraPradesh
172,"₹ 27,000","46,000 km",2013.0,Hero,Karizma,"Kothapeta, Rayachoti, Andhra Pradesh",AndhraPradesh
173,"₹ 30,000",35 km,2011.0,Yamaha,Others,"Krishna Puram, Tadpatri, Andhra Pradesh",AndhraPradesh
174,"₹ 45,000","90,000 km",2013.0,Bajaj,Pulsar,"Mogalikuduru, Thatipaka, Andhra Pradesh",AndhraPradesh
175,"₹ 1,80,000","17,000 km",2020.0,Royal Enfield,Classic,"Janshakti Nagar, Anantapur, Andhra Pradesh",AndhraPradesh
176,"₹ 35,000","39,495 km",2014.0,Yamaha,FZ,"Krishna Nagar, Guntur, Andhra Pradesh",AndhraPradesh
177,"₹ 25,000","48,000 km",2009.0,TVS,Apache RTR,"Kurmannapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
178,"₹ 1,32,000","5,881 km",2021.0,Bajaj,Pulsar,"Almaspet, Kadapa, Andhra Pradesh",AndhraPradesh
179,"₹ 85,000","360,005 km",2018.0,Hero,Glamour,"Bheemunipatam VUDA Colony, Visakhapatnam, Andhra Pradesh",AndhraPradesh
180,"₹ 90,000","6,000 km",2021.0,Honda,Others,"Bokka Vari Palem, Bhimavaram, Andhra Pradesh",AndhraPradesh
181,"₹ 1,20,000","20,000 km",2019.0,KTM,RC,"Gajuwaka, Visakhapatnam, Andhra Pradesh",AndhraPradesh
182,"₹ 70,000","40,000 km",2017.0,Bajaj,Pulsar,"Rajeev Nagar, Visakhapatnam, Andhra Pradesh",AndhraPradesh
183,"₹ 90,000","23,000 km",2019.0,Bajaj,Pulsar,"Santha, Gajapathinagaram, Andhra Pradesh",AndhraPradesh
184,"₹ 60,000","23,500 km",2018.0,Honda,Others,"BHANUGUDI, Kakinada, Andhra Pradesh",AndhraPradesh
185,"₹ 70,000","46,000 km",2015.0,Bajaj,Pulsar,"Autonagar, Tirupati, Andhra Pradesh",AndhraPradesh
186,"₹ 38,500","4,000 km",2011.0,Bajaj,Pulsar,"Kurmannapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
187,"₹ 45,000","25,000 km",2015.0,Bajaj,Pulsar,"Ambedhkar Colony, Tirupati, Andhra Pradesh",AndhraPradesh
188,"₹ 14,000","20,000 km",2011.0,Hero,Splendor,"Bhaskarpuram, Machilipatnam, Andhra Pradesh",AndhraPradesh
189,"₹ 49,999","40,000 km",2013.0,Bajaj,Pulsar,"Gavara Kanchera Palem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
190,"₹ 26,000",55 km,2012.0,Bajaj,Discover,"Raju Colony, Rayachoti, Andhra Pradesh",AndhraPradesh
191,"₹ 60,000","38,000 km",2019.0,Bajaj,Pulsar,"Vaddi Palem, Kavali, Andhra Pradesh",AndhraPradesh
192,"₹ 28,000","63,000 km",2012.0,Hero Honda,Splendor,"AK Nagar, Nellore, Andhra Pradesh",AndhraPradesh
193,"₹ 60,000","20,000 km",2020.0,Hero,Glamour,"NCC Colony, Nellore, Andhra Pradesh",AndhraPradesh
194,"₹ 1,25,000","28,000 km",2019.0,KTM,Others,"Katheru Village, Rajahmundry, Andhra Pradesh",AndhraPradesh
195,"₹ 75,000","11,500 km",2020.0,Honda,CD 110 Dream,"Mudireddi Palli, Hindupur, Andhra Pradesh",AndhraPradesh
196,"₹ 62,000","48,000 km",2017.0,Yamaha,FZS,"Gandikota, Kadapa, Andhra Pradesh",AndhraPradesh
197,"₹ 20,000","75,000 km",2012.0,Hero Honda,Others,"Doddipalle, Murakambattu, Andhra Pradesh",AndhraPradesh
198,"₹ 15,00,000","11,600 km",2017.0,Other Brands,Others,"Navabharat Nagar, Guntur, Andhra Pradesh",AndhraPradesh
199,"₹ 65,000","2,580 km",2021.0,Royal Enfield,Thunderbird,"Maddilapalem, Visakhapatnam, Andhra Pradesh",AndhraPradesh
200,"₹ 1,00,000","16,000 km",2020.0,Bajaj,Pulsar,"Pydiparru, Tanuku, Andhra Pradesh",AndhraPradesh
201,"₹ 68,000","70,000 km",2017.0,Bajaj,Pulsar,"Rajive Nagar Colony, Vizianagaram, Andhra Pradesh",AndhraPradesh
202,"₹ 35,000","25,503 km",2012.0,Hero Honda,CBZ,"Vissannapet, Andhra Pradesh, India",AndhraPradesh
203,"₹ 1,85,000","30,000 km",2019.0,Royal Enfield,Classic,"DRK Raju Layout, Madhurawada, Andhra Pradesh",AndhraPradesh
204,"₹ 1,20,000","3,000 km",2021.0,Royal Enfield,Classic,"Parvathi Nagar, Palacole, Andhra Pradesh",AndhraPradesh
205,"₹ 27,000","24,000 km",2012.0,Bajaj,Discover,"Gopavaram, Andhra Pradesh, India",AndhraPradesh
